Company,ProductTypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,class_name
Asus,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i7,Other,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
Lenovo,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i7,4GB,SSD,Intel,Windows_10,Medium,Low
HP,Notebook,Standard,1366_768,Intel_Other,8GB,HDD,Intel,Windows_10,Medium,Low
Dell,Netbook,Small,1366_768,Intel_Celeron,4GB,Flash_Storage,Intel,Other,Light,Low
HP,Netbook,Small,Other,Intel_Celeron,8GB,Flash_Storage,Intel,Other,Light,Low
Dell,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,Flash_Storage,Nvidia,Windows_10,Heavy,Mid_Range
Other,Ultrabook,Small,Full_HD,Intel_Core_i7,16GB,SSD,Intel,Windows_10,Light,High
Lenovo,Ultrabook,Standard,Other,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Lenovo,Gaming,Standard,Other,Intel_Core_i7,16GB,SSD,Nvidia,Windows_10,Heavy,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,High
Dell,Ultrabook,Small,Full_HD_Touchscreen,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Dell,Gaming,Gaming,Other,Intel_Core_i7,Other,SSD_HDD,Nvidia,Windows_10,Heavy,High
Other,Ultrabook,Small,Full_HD,Intel_Core_i7,16GB,SSD,Intel,Windows_10,Light,High
Other,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
HP,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Medium,Mid_Range
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Windows_10,Heavy,High
HP,Notebook,Standard,1366_768,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,Low
Dell,Notebook,Standard,1366_768,Intel_Other,4GB,HDD,Intel,Other,Medium,Low
Asus,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Windows_10,Medium,Mid_Range
Lenovo,Notebook,Gaming,Other,Intel_Core_i5,8GB,HDD,AMD,Windows_10,Heavy,Low
HP,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Other,Light,High
HP,Notebook,Gaming,Other,Intel_Core_i3,8GB,HDD,Intel,Windows_10,Heavy,Low
Lenovo,Notebook,Gaming,Other,Intel_Core_i7,Other,SSD_HDD,Nvidia,Windows_10,Heavy,Mid_Range
HP,Notebook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,Mid_Range
HP,Ultrabook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Light,Mid_Range
Dell,Notebook,Standard,1366_768,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Other,Notebook,Small,Full_HD,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Light,Mid_Range
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Other,Heavy,High
Asus,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Heavy,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i7,4GB,HDD,AMD,Windows_10,Medium,Low
Dell,Ultrabook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Other,Light,Mid_Range
Dell,Ultrabook,Small,1366_768,Intel_Core_i3,4GB,HDD,Intel,Other,Light,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Other,Medium,High
Acer,Notebook,Standard,1366_768,Intel_Core_i5,4GB,HDD,Intel,Windows_10,Heavy,Low
Lenovo,Notebook,Standard,1366_768,Intel_Celeron,4GB,Flash_Storage,Intel,Windows_10,Light,Low
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,Low
Dell,Gaming,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Nvidia,Windows_10,Heavy,Mid_Range
HP,Gaming,Gaming,Full_HD,Intel_Core_i7,8GB,HDD,AMD,Other,Heavy,High
Dell,Ultrabook,Small,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Asus,Notebook,Standard,Full_HD,Intel_Core_i3,8GB,HDD,Nvidia,Other,Heavy,Low
Other,Notebook,Standard,Full_HD,Intel_Other,4GB,SSD,Intel,Windows_10,Light,Low
Other,Ultrabook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Other,Light,High
Dell,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Nvidia,Windows_10,Medium,High
Dell,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,AMD,Windows_10,Medium,Low
HP,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i3,4GB,SSD,Nvidia,Windows_10,Light,Low
