EntertainmentRating,FoodRating,GroundServiceRating,OverallScore,class_name,SeatComfortRating,ServiceRating,ValueRating,WifiRating
1,1,1,1,no,1,1,1,1
3,3,1,2,no,3,3,1,2
5,4,5,ten,yes,5,5,5,0
5,5,5,ten,yes,5,5,5,0
0,4,4,6,yes,5,3,4,0
1,3,1,2,no,3,4,1,4
0,0,1,1,no,1,1,1,0
0,0,0,1,no,0,0,1,0
0,0,0,1,no,0,0,1,0
0,0,1,1,no,0,0,1,0
0,0,0,1,no,0,0,1,0
0,0,1,1,no,1,1,1,0
5,5,5,ten,yes,5,5,4,0
1,1,2,2,no,4,1,1,0
3,3,1,2,no,4,3,2,0
4,4,4,9,yes,5,5,5,0
0,0,1,1,no,1,1,1,0
3,1,2,2,no,2,2,1,2
1,1,1,1,no,1,1,1,1
0,1,1,1,no,3,3,1,0
0,0,1,1,no,0,0,1,0
1,3,1,1,no,1,2,1,1
0,1,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
0,1,3,7,yes,3,4,5,0
1,0,1,1,no,2,4,2,1
0,2,5,ten,yes,2,5,5,0
5,5,5,ten,yes,5,5,5,0
2,2,1,3,no,1,2,3,0
0,0,1,1,no,1,1,1,0
0,3,4,8,yes,4,4,5,0
0,4,5,9,yes,4,3,5,0
0,0,1,1,no,1,2,1,0
0,0,1,2,no,2,2,1,0
1,0,1,1,no,1,1,1,0
0,1,1,1,no,2,2,1,0
1,1,1,1,no,1,1,1,1
0,4,4,9,yes,4,5,5,0
0,5,4,ten,yes,5,5,5,0
4,3,5,6,yes,4,1,2,0
4,5,5,9,yes,4,4,4,0
3,2,1,1,no,2,1,1,1
0,0,1,1,no,1,1,1,0
1,1,1,1,no,1,1,1,1
1,1,4,2,no,3,1,3,1
